# transimpedance=20M	averages=1.0	pump_speed=0.1
# ch_7_config:	ch_0_config:	ch_6_config:	ch_1_config:	ch_5_config:	ch_2_config:	ch_4_config:	ch_3_config:	
# LED = 526 nm	LED = 438 nm	LED = 593 nm	LED = 453 nm	LED = 380 nm	LED = 472 nm	LED = 403 nm	LED = 640 nm	
# cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	
# ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	
# blk=1115.8+/-18.1pW	blk=3460.7+/-17.8pW	blk=505.3+/-19.5pW	blk=1202.7+/-17.2pW	blk=1494.7+/-25.1pW	blk=688.1+/-16.6pW	blk=700.3+/-17.5pW	blk=1413.2+/-15.7pW	
# t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	dark_7 [nW]	dark_0 [nW]	dark_6 [nW]	dark_1 [nW]	dark_5 [nW]	dark_2 [nW]	dark_4 [nW]	dark_3 [nW]	tmep[deg C]
4.881375	1.391644	4.896203	3.515732	4.911031	0.671407	4.925859	1.59917	4.940688	2.038636	4.955516	0.854518	4.970344	1.306192	4.985172	1.733451	0.183111	0.170904	0.134281	0.134281	0.207526	0.219733	0.195318	0.195318	31.1
5.0005	1.379437	5.015312	3.52794	5.030125	0.671407	5.044937	1.59917	5.05975	2.038636	5.074562	0.842311	5.089375	1.293985	5.104188	1.721244	0.170904	0.170904	0.122074	0.134281	0.219733	0.207526	0.207526	0.195318	31.1
5.1195	1.391644	5.134313	3.515732	5.149125	0.671407	5.163938	1.59917	5.17875	2.038636	5.193563	0.842311	5.208375	1.3184	5.223188	1.721244	0.183111	0.170904	0.134281	0.122074	0.207526	0.219733	0.195318	0.207526	31.1
5.2385	1.391644	5.253328	3.515732	5.268156	0.671407	5.282984	1.59917	5.297813	2.063051	5.312641	0.854518	5.327469	1.330607	5.342297	1.721244	0.170904	0.183111	0.134281	0.122074	0.207526	0.207526	0.195318	0.195318	31.1
5.357625	1.379437	5.372453	3.515732	5.387281	0.6592	5.402109	1.59917	5.416937	2.026429	5.431766	0.854518	5.446594	1.306192	5.461422	1.745659	0.170904	0.170904	0.134281	0.134281	0.207526	0.207526	0.207526	0.207526	31.1
5.47675	1.379437	5.491578	3.515732	5.506406	0.671407	5.521234	1.586962	5.536062	2.038636	5.550891	0.842311	5.565719	1.3184	5.580547	1.721244	0.170904	0.170904	0.122074	0.146489	0.207526	0.207526	0.195318	0.195318	31.1
5.59575	1.367229	5.610578	3.503525	5.625406	0.6592	5.640234	1.59917	5.655062	2.026429	5.669891	0.842311	5.684719	1.306192	5.699547	1.733451	0.170904	0.170904	0.134281	0.134281	0.219733	0.207526	0.207526	0.207526	31.1
5.71475	1.391644	5.729578	3.503525	5.744406	0.671407	5.759234	1.586962	5.774063	2.050844	5.788891	0.854518	5.803719	1.306192	5.818547	1.733451	0.183111	0.170904	0.134281	0.134281	0.219733	0.207526	0.195318	0.207526	31.1
5.83375	1.379437	5.848578	3.515732	5.863406	0.6592	5.878234	1.59917	5.893063	2.050844	5.907891	0.842311	5.922719	1.306192	5.937547	1.721244	0.183111	0.170904	0.122074	0.122074	0.219733	0.207526	0.207526	0.195318	31.1
5.952875	1.379437	5.967703	3.503525	5.982531	0.671407	5.997359	1.586962	6.012187	2.038636	6.027016	0.842311	6.041844	1.293985	6.056672	1.709037	0.183111	0.183111	0.122074	0.134281	0.219733	0.207526	0.207526	0.195318	31.1
